property_name,additional_info,address,area,city,hotel_category,hotel_facilities,hotel_star_rating,province,review_count_by_category,room_count,room_facilities,room_type,site_review_rating,state
Baragarh Regency,Room Service|Internet Access|Restaurant|Free Internet,"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,gostays,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites,2,Manali,positive reviews::74|critical reviews::13|reviews with images::13,17,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Safe - In - Room |Hill View from all Rooms|HD / LCD Satellite TV |Sofa Table / Extra Seats |Private Garden|TV|Bathrobes|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",Deluxe Room,4,Himachal Pradesh
Asian Suites A- 585,Room Service|Gym/Spa,"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,regular,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup,0,Gurgaon,positive reviews::8|critical reviews::0|reviews with images::2,18,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Makeup / Shaving Mirror|Coffee Table|Snacks / Beverage|TV|Room Heater|Mirror|Mini Refrigerator|Utensils (on request)|Attached Bathroom",Deluxe Room With Free WIFI,4.5,Haryana
Bevvan Resort,Restaurant|Swimming Pool,"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,regular,Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant,0,Goa,positive reviews::1|critical reviews::1|reviews with images::1,15,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom,Standard Room,2.5,Goa
Apple Inn Cottage,,Simsa,Village Simsa,Manali,regular,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental,2,Manali,positive reviews::1|critical reviews::0|reviews with images::0,24,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water,Deluxe Room,5,Himachal Pradesh
Anmol Hotel Pvt.Ltd,Internet Access|Restaurant,"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,regular,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup,2,Delhi,positive reviews::56|critical reviews::65|reviews with images::17,20,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Mirror,Standard Room Non AC,2.8,Delhi
Baia Do Sol (A Boutique Beach Resort),Room Service|Internet Access,"Baga Beach, Calangute, Goa",Baga Area,Goa,regular,Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours),3,Goa,positive reviews::14|critical reviews::2|reviews with images::3,15,,Semi Deluxe,3.9,Goa
Balaji Residency,Free Internet,"K-69, Kalkaji",Kalkaji,Delhi,regular,Doctor on Call|Lobby|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby,2,Delhi,,10,Basic Bathroom Amenities|Hairdryer (on request)|Internet Connection In Room| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Attached Bathroom,Deluxe A/C Room,,Delhi
BB Palace-A Boutique Hotel,Room Service|Internet Access|Restaurant|Free Internet,"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,gostays,Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility,3,Delhi,positive reviews::452|critical reviews::98|reviews with images::58,24,Room Service |Air Conditioning |Ensuite / Private Bathroom|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Voicemail|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Bathrobes|Mirror|Luggage Rack,Club Room,4,Delhi
Art Inn Homestay,,"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,regular,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,1,Jaipur,positive reviews::1|critical reviews::0|reviews with images::0,2,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Standared Room,3,Rajasthan
Arjun Homestay,,51 Amri Nagar south ex,South Extension,Delhi,regular,Doctor on Call|Front Desk|24 Hour Front Desk,0,Delhi,,4,Room Service |Basic Bathroom Amenities,Deluxe,,Delhi
Ashirwad Homestay,Room Service|Free Internet,"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,regular,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Car Rental|Board Room|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Parking Facility|Room Service,0,Guwahati,positive reviews::19|critical reviews::2|reviews with images::7,4,Room Service |Basic Bathroom Amenities|Ceiling Fan|Tea Coffee Kettle / Maker|Mirror,Deluxe Ac Suite with Kitchentte,4.3,Assam
Apna Ghar- Sector 46,Room Service|Internet Access|Free Internet,"Near Botanical Garden Metro Station,Sec  -  46",Others,NOIDA,regular,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,NOIDA,,32,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Safe - In - Room,Deluxe Room,,Uttar Pradesh
Baba Guest House,Room Service|Free Internet,"429, Sector-6, Rohini, Near Vidha Jain Public School",Rohini,Delhi,regular,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Smoking Area |Internet Access Free|Courier Service|Parking Facility|Room Service,0,Delhi,,3,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Telephone|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|TV|Mirror|Daily Room Cleaning|Dustbins|In-room Storage Space|Sufficient Lighting|Western Toilet Seat,Standard Room,,Delhi
Baragarh Villa,,"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Naggar Road,Manali,regular,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens,4,Manali,,4,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Royal Suite,,Himachal Pradesh
Annapurna Guest House,,"Titawada, Nerul Bardez Goa",Candolim Area,Goa,regular,,0,Goa,positive reviews::38|critical reviews::0|reviews with images::3,2,Air Conditioning |Ceiling Fan|Full Kitchen|Refrigerator|Shower Facility Available| Hot / Cold Running Water|Breakfast Available|Coffee Table|Split A.C's|TV|Mirror|Utensils (on request)|Gas Cylinder - Chargeable|Attached Bathroom,AC 1 BHK,4.6,Goa
ARAVINDAR RESIDENCY,Room Service|Internet Access|Free Internet,"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,regular,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured,0,Chennai,positive reviews::22|critical reviews::6|reviews with images::2,22,Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror,Deluxe Room,3.6,Tamil Nadu
Balaram Palace Resort,Room Service|Internet Access,"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,regular,Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|Wake-up Call / Service|Car Rental|Guide / Sightseeing Service|Room Service,3,Chitrasani,positive reviews::0|critical reviews::1|reviews with images::0,21,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Safe - In - Room |Wardrobe|HD / LCD Satellite TV |Mirror|Dressing Area|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Sufficient Lighting|Western Toilet Seat,Royal Tent,1,Gujarat
Bhadrawati Safari Lodge,Room Service,"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar",Ranthambhore,Sawai Madhopur,regular,Doctor on Call|24 Hour Front Desk|Room Service (24 Hours)|Room Service|CCTV,0,Sawai Madhopur,,10,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Newspapers,Luxury Room,,Rajasthan
AS Clarks inn,Room Service|Free Internet,"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,regular,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|Speciality Restaurant |Suites,3,Dalhousie,positive reviews::50|critical reviews::7|reviews with images::11,10,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone,Deluxe,4.2,Himachal Pradesh
"Beautiful Alleppey Tours Two Bedroom, Alleppey",,"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003",Others,Alleppey,regular,Doctor on Call,0,Alleppey,,2,,Deluxe Room,,Kerala
Ashiyana,Room Service|Free Internet,Sinhgad road pune,Pune Bangalore Highway,Pune,regular,Business Center |Parking Facilities Available|24 Hour Front Desk|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Suites,0,Pune,,5,,Double Room,,Maharashtra
ASHIRWAD LODGING,Room Service,"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Railway Station Rd,Nanded,regular,Business Center |Doctor on Call|Laundry Service Available|24 Hour Front Desk|Power Backup|Room Service|CCTV,0,Nanded,positive reviews::28|critical reviews::13|reviews with images::6,10,,NON AC DELUXE,3.2,Maharashtra
Aqua Marina Drive Inn,Room Service|Restaurant,"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service,0,Mandarmani,positive reviews::122|critical reviews::5|reviews with images::42,14,Air Conditioning |Cable / Satellite / Pay TV available|Attached Bathroom,Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View),4.5,West Bengal
Annai Illam Guest House,Room Service|Restaurant,"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,regular,Business Center |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|STD / ISD|Parking Facility,0,Yercaud,positive reviews::1|critical reviews::0|reviews with images::0,2,Room Service |Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|HD / LCD Satellite TV |Mirror|Attached Bathroom,Triple bed room,4.6,Tamil Nadu
Bella Marina Villa,Room Service|Restaurant|Free Internet,"Shuru, PO Prini, Manali",Village Prini,Manali,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Gardens|Picnic Area|Open Air Restaurant / Dining | Bike on Rent|Vegetarian Food / Jain Food Available|Taxi Services|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Restaurant|Room Service,0,Manali,positive reviews::1|critical reviews::0|reviews with images::1,11,Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Mirror|Daily Room Cleaning|Dustbins,Deluxe Room,4,Himachal Pradesh
ATOM Guest House,,"plot no 56, ghata village, gurgaon",Others,Gurgaon,regular,Doctor on Call|Parking Facilities Available|Power Backup|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,0,Gurgaon,,5,Air Conditioning |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room,Standard Room,,Haryana
Bendmeer Group of House Boat and Resorts,Room Service|Free Internet,"Bendemeer Group of House boat, Ghat No 7, Boulevard Road, Srinagar, Jammu and Kashmir",Dal Lake Area,Srinagar,regular,Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Local Tour / Travel Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Dance Performances (on demand)|Suitable For Children|Separate Sitting Area|Smoking Area |Extra Person / Child - Share the same room|Internet Access Free|Family Room|Air / Rail Booking|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Room Service|Paid Transfers|Security at All Hotel Entrances|Suites,0,Srinagar,,4,"Basic Bathroom Amenities|Ceiling Fan|Hairdryer (on request)|Refrigerator|Mineral Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Slippers|Premium Amenities / Toiletries|Handheld Showers|Coffee Table|Wardrobe|International Switch Plugs (on request)|TV|Room Heater|Mirror|Luggage Rack|Bathtub|Closet|Bedside Table|Clothes Hook in Bathroom|Daily Room Cleaning|Room with Window/Ventilation|Sanitary Bin|Sufficient Lighting|Western Toilet Seat",Super Deluxe,,Jammu and Kashmir
Balaji Resorts,,"Gat no 1000, At post Dapode Khariv Bandhara, Taluka Velhe",Others,Pune,regular,Doctor on Call|Parking Facilities Available|Front Desk,0,Pune,,6,"Room Service |Basic Bathroom Amenities|Ceiling Fan|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Extra Bed, Towels, Linens, Bedding (on request)|Makeup / Shaving Mirror|TV|Mirror|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Rooms with Attached Bathrooms|Sufficient Lighting",delux room,,Maharashtra
Asha Sukha Nivas Laudge,Room Service|Internet Access,Near Central St Stand,Parshuram,Chiplun,regular,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Room Service|Fire Safety,0,Chiplun,,9,Room Service |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Radio|Telephone|Toiletries,Aircooled,,Maharashtra
AR Suites Fontana Bay,Room Service|Internet Access|Free Internet,"Road No. 2, Central Avenue,Kalyani Nagar",Kalyani Nagar,Pune,regular,Airport Transfer Available / Surcharge|Business Center |Concierge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Gardens|Smoking Area |Shopping Drop Facility (on fixed timings)|Internet Access Free|Newspapers In Lobby|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility,4,Pune,positive reviews::41|critical reviews::0|reviews with images::5,19,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Kitchenette|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Newspapers|Reading Lamps| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Coffee Table|TV|Mirror|Attached Bathroom,1 Bedroom,4.6,Maharashtra
Atithi Cottages,Room Service|Internet Access|Restaurant|Free Internet,"Village Simsa, Kanyal Road",Village Simsa,Manali,regular,Banquet Facilities|Business Center |Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Catering|Suitable For Children|Grocery|Conference Facility |Kitchen available (home cook food on request)|Massage Services |Discotheque | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|City Shuttle Service|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,3,Manali,positive reviews::2|critical reviews::4|reviews with images::1,10,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Heating Facility (on request) |Iron / Ironing board available|Kitchenette|Mini bar - On Charge |Shower Facility Available|Breakfast Available (surcharge)|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Sofa Cum Bed Available|Primium Bathrooms|Hill View from all Rooms|Coffee Table|Wardrobe|Private Garden|TV|Room Heater|Mirror|Luxurious Feather Mattresses|Gas Cylinder - Chargeable|Dressing Area|Attached Bathroom",Luxury Room,2.9,Himachal Pradesh
